City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
65,mournies,35.4764,24.0092,18.24000000000001,77,40,4.12,GR,1712774639
66,bethel,41.3712,-73.414,20.120000000000005,53,75,2.57,US,1712774794
67,tamanrasset,22.785,5.5228,28.950000000000045,18,35,2.57,DZ,1712774640
68,praia da vitoria,38.7333,-27.0667,19.140000000000043,88,75,7.77,PT,1712774794
69,nacala,-14.5428,40.6728,26.810000000000002,86,22,2.75,MZ,1712774640
70,malindi,-3.2175,40.1191,28.24000000000001,84,98,4.33,KE,1712774640
71,ibarreta,-25.2144,-59.8585,28.700000000000045,80,99,1.03,AR,1712774794
72,hermanus,-34.4187,19.2345,16.0,73,35,8.07,ZA,1712774794
73,bayamo,20.3792,-76.6433,37.10000000000002,23,15,3.57,CU,1712774580
74,labrador city,52.9463,-66.9114,3.9500000000000455,28,0,3.09,CA,1712774795
75,isafjordur,66.0755,-23.124,-1.75,84,47,2.67,IS,1712774795
76,badger,64.8,-147.5333,1.660000000000025,60,33,1.19,US,1712774616
77,whitehorse,60.7161,-135.0538,2.2800000000000296,59,75,6.17,CA,1712774641
78,port elizabeth,-33.918,25.5701,15.170000000000016,84,100,1.79,ZA,1712774795
79,bhan,26.5583,67.7214,30.350000000000023,36,0,3.31,PK,1712774795
80,ribeira grande,38.5167,-28.7,16.54000000000002,100,75,3.6,PT,1712774795
81,de witt,41.8234,-90.5382,20.74000000000001,41,0,2.57,US,1712774795
82,colonia,50.9333,6.95,14.420000000000016,52,0,2.06,DE,1712774795
83,petropavlovsk-kamchatsky,53.0452,158.6483,2.330000000000041,96,40,8.0,RU,1712774796
84,lesosibirsk,58.2358,92.4828,-6.71999999999997,82,79,3.68,RU,1712774796
85,lazaro cardenas,17.9583,-102.2,28.160000000000025,57,100,6.43,MX,1712774796
86,brisas de zicatela,15.8369,-97.0419,30.29000000000002,70,0,3.09,MX,1712774796
87,fort st. john,56.2499,-120.8529,5.939999999999998,39,75,2.57,CA,1712774796
88,nova sintra,14.8667,-24.7167,22.600000000000023,77,0,7.89,CV,1712774642
89,ust'-ilimsk,58.0006,102.6619,3.580000000000041,98,100,4.02,RU,1712774642
90,bredasdorp,-34.5322,20.0403,15.810000000000002,68,91,6.46,ZA,1712774643
91,wailua homesteads,22.0669,-159.378,23.75,81,40,4.12,US,1712774797
92,hawaiian paradise park,19.5933,-154.9731,23.350000000000023,96,100,2.57,US,1712774797
93,margaret river,-33.95,115.0667,14.29000000000002,71,0,6.12,AU,1712774797
94,st. john's,47.5649,-52.7093,1.650000000000034,69,100,5.81,CA,1712774566
95,constantia,44.1833,28.65,13.170000000000016,69,0,3.0,RO,1712774542
96,college,64.8569,-147.8028,1.150000000000034,61,47,0.45,US,1712774643
97,kingston,17.997,-76.7936,31.53000000000003,66,20,10.29,JM,1712774340
98,flin flon,54.7682,-101.865,12.910000000000025,41,75,5.14,CA,1712774797
